Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Header (product.metafields.custom.header),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Warmth level (product.metafields.shopify.warmth-level),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Norway,Price / Norway,Compare At Price / Norway,Included / European Union,Price / European Union,Compare At Price / European Union,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / United States,Price / United States,Compare At Price / United States,Status
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Imperial King,,,Summer,,,,,DVT-850-IMK-SUM,0.0,,0,deny,manual,2775,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,25870,,true,2400,,true,2050,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Imperial King,,,All Year,,,,,DVT-850-IMK-ALY,0.0,,0,deny,manual,3145,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,29320,,true,2720,,true,2320,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Imperial King,,,Winter,,,,,DVT-850-IMK-WIN,0.0,,0,deny,manual,3985,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,37150,,true,3440,,true,2940,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Imperial King,,,Polar,,,,,DVT-850-IMK-POL,0.0,,0,deny,manual,5570,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,51920,,true,4810,,true,4100,,true,,,
european-white-goose-down-pillows,"European White Goose, 100% Down Pillows, Fill Power 830","<p>European White Goose down, 100% down, no feathers. Fill power 830 (EU).</p>
<p>Each size is available in soft, medium and firm versions.</p>
<p>The price is per single pillow. Each pillow is made to order with a three week lead time.</p>
<p>Our most luxurious pillows are 100% pure goose down without feathers. Each down cluster is huge, resulting in a pillow that feels like resting your head on a cloud. It’s the option for those who want only the best out of life. This is our softest pillow collection.</p>
<p><meta charset=""utf-8""><span>* Fill Power Explained: Fill power indicates how many cubic inches are occupied by one ounce of down. Higher fill power means larger, fluffier and denser down, providing better heat modulation while also being lighter in weight as less feathers are used.</span></p>
<div id=""sp_easy_accordion-1785258113"">
<div id=""sp-ea-10005"" class=""sp-ea-one sp-easy-accordion"">
<div class=""ea-card ea-expand sp-ea-single"">
<div class=""sp-collapse spcollapse collapsed show"" id=""collapse100050"" role=""region"">
<div class=""ea-body""></div>
</div>
</div>
</div>
</div>",Norvegr,Home & Garden > Linens & Bedding > Bedding > Pillows,Pillows,"Pillows, Premium Collection, Top Picks",true,Size,Boudoir XL,,Firmness,Soft,,,,,PIL-830-BDX-SFT,0.0,,0,deny,manual,355,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/imgi_4_european-goose-100-down-pillows.jpg?v=1787913007,1,European White Goose down pillow collection hero image,false,Premium Goose Down Pillows | Fill Power 830 | Norvegr,"100% European White Goose down pillows, fill power 830. Soft, medium and firm. Cloud-like luxury support. Made to order per pillow.",,,,,,,,,,,,kg,,,true,3310,,true,310,,true,270,,true,,,active
european-white-goose-down-pillows,,,,,,,,,Boudoir XL,,,Medium,,,,,PIL-830-BDX-MED,0.0,,0,deny,manual,395,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/imgi_54_Pillow_079-scaled.jpg?v=1787913007,2,830 fill power european white goose down pillow on bed,,,,,,,,,,,,,,,kg,,,true,3690,,true,350,,true,300,,true,,,
european-white-goose-down-pillows,,,,,,,,,Boudoir XL,,,Firm,,,,,PIL-830-BDX-FRM,0.0,,0,deny,manual,470,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/imgi_53_Pillow_044-scaled.jpg?v=1787913007,3,830 fill power european white goose down pillow on bed,,,,,,,,,,,,,,,kg,,,true,4390,,true,410,,true,350,,true,,,
european-white-goose-down-pillows,,,,,,,,,Boudoir,,,Soft,,,,,PIL-830-BDR-SFT,0.0,,0,deny,manual,285,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1020/3765/1794/files/imgi_33_Pillow_Down_005-Premium.jpg?v=1787913007,4,Close-up of down fill in 830 fill power European White Goose down pillow,,,,,,,,,,,,,,,kg,,,true,2660,,true,250,,true,210,,true,,,
european-white-goose-down-pillows,,,,,,,,,Boudoir,,,Medium,,,,,PIL-830-BDR-MED,0.0,,0,deny,manual,320,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,2990,,true,280,,true,240,,true,,,
european-white-goose-down-pillows,,,,,,,,,Boudoir,,,Firm,,,,,PIL-830-BDR-FRM,0.0,,0,deny,manual,380,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,3550,,true,330,,true,280,,true,,,
